Mileage,Fuel,Type,Cost,Dist Diff,Efficiency,Cost efficiency,Date
61017,,,,,,,
61322,7.919,SPC 98,,305,38.515,,
61609,6.837,SPC 98,,287,41.977,,
61874,7.121,SPC 98,,265,37.214,,
62229,9.074,SPC 98,,355,39.123,,
62546,7.923,SPC 98,,317,40.010,,
62845,7.384,SPC 98,,299,40.493,,
63096,6.733,SPC 98,,251,37.279,,
63407,8.076,SPC 98,,311,38.509,,
63692,7.746,SPC 98,,285,36.793,,
64037,8.646,SPC 98,,345,39.903,,
64352,7.876,SPC 98,,315,39.995,,
64665,7.885,SPC 98,,313,39.696,,
64994,8.336,SPC 98,,329,39.467,,
65303,7.873,SPC 98,,309,39.248,,
65641,8.139,SPC 98,,338,41.528,,
65955,7.830,SPC 98,,314,40.102,,
66280,7.892,SPC 98,,325,41.181,,
66601,7.487,SPC 98,,321,42.874,,
66889,7.275,SPC 98,,288,39.588,,
67173,7.319,SPC 98,,284,38.803,,
67457,7.383,SPC 98,,284,38.467,,
67791,8.348,SPC 98,,334,40.010,,
68107,8.006,SPC 98,,316,39.470,,
68453,8.677,SPC 98,,346,39.876,,
68777,8.000,SPC 98,,324,40.500,,
69108,8.208,SPC 98,,331,40.327,,
69409,7.660,SPC 98,,301,39.295,,
69711,7.729,SPC 98,3.320,302,39.074,0.085,
70049,8.624,SPC 98,3.350,338,39.193,0.085,
70358,7.752,SPC 98,3.350,309,39.861,0.084,
70635,7.090,SPC 98,3.350,277,39.069,0.086,
70930,7.723,SPC 98,3.290,295,38.198,0.086,
71242,8.418,SPC 98,3.130,312,37.063,0.084,
71552,8.124,SPC 98,3.230,310,38.159,0.085,
71863,8.077,SPC 98,3.230,311,38.504,0.084,4 October 2022
72159,7.737,SPC 98,3.230,296,38.258,0.084,11 October 2022
